"locations","x_global","y_global"
"akhandananda bhawan NE",693.873947514042,2149.99350002596
"akhandananda bhawan NW",527.480447514043,2110.09800002596
"akhandananda bhawan SE",690.452447514043,2212.67350002596
"akhandananda bhawan SW",497.848947514043,2191.01750002596
"atmavikas bhawan NE",1312.04278460781,2036.98005635464
"atmavikas bhawan NW",1232.79345127448,2023.39438968798
"atmavikas bhawan SE",1275.78378460781,2292.61905635464
"atmavikas bhawan SW",1151.52778460781,2269.21105635464
"auditorium NE",1139.78284166667,539.856691666667
"auditorium NW",969.184175,498.710358333334
"auditorium SE",1045.31971132469,815.840569981174
"auditorium SW",933.526211324692,790.539569981174
"bijnanananda bhawan NE",468.217447514043,2095.28900002596
"bijnanananda bhawan NW",382.739447514043,2077.05400002596
"bijnanananda bhawan SE",446.565447514043,2184.17950002596
"bijnanananda bhawan SW",364.508947514043,2168.22850002596
"godown NE",525.188780633168,1616.49355703969
"godown NW",264.578877877375,1547.23074919092
"godown SE",446.565447514043,1976.76250002596
"godown SW",171.901447514043,1910.65680002596
"main gate",238.026625,97.1272583333332
"medha bhawan NE",1496.97119033435,926.405378531626
"medha bhawan NW",1340.15519033435,888.440611864959
"medha bhawan SE",1395.90289326217,1356.27375278614
"medha bhawan SW",1239.94464326217,1322.07300278614
"playground NE",568.960161676833,923.759926982931
"playground NW",253.205174999999,818.707858333332
"playground SE",479.960675133096,1385.84390983852
"playground SW",129.261234389122,1303.43985516836
"pond1 NE",1443.170175,595.043025
"pond1 NW",1277.40350833333,564.853358333334
"pond1 SE",1395.18921132469,818.341069981174
"pond1 SW",1235.03771132469,774.322569981173
"pond2 NE",1211.96252366768,974.127411864959
"pond2 NW",931.90619033435,908.120878531626
"pond2 SE",1145.71710846643,1471.50757650518
"pond2 SW",796.394441799763,1390.71757650518
"prajna bhawan SE",946.707784607809,1989.81672302131
"prajna bhawan SW",738.878117941142,1942.50572302131
"premananda NE",183.420661676833,960.260476982931
"premananda NW",-41.6564516463343,910.23649563253
"premananda SE",160.608161676833,1038.75697698293
"premananda SW",-59.9170516463342,992.40909563253
"ramkrishnananda bhawan NE",100.764234389122,1444.76285516836
"ramkrishnananda bhawan NW",-10.9241656108776,1421.96935516836
"ramkrishnananda bhawan SE",81.3791426392299,1635.32717597011
"ramkrishnananda bhawan SW",-53.8070573607702,1613.70972597011
"school of heritage NE",1238.35078063317,1656.67179037302
"school of heritage NW",1042.15944729983,1608.53459037302
"school of heritage SE",1198.14398135793,1811.35150698408
"school of heritage SW",1004.12298135793,1757.33584031741
"school of mathematics NE",829.446872563292,1559.9213166879
"school of mathematics NW",632.716775133097,1513.01190983852
"school of mathematics SE",791.319113966501,1708.58412370635
"school of mathematics SW",596.627447299835,1673.32112370635
"statue",1097.445175,921.056858333333
"statute",1100.03724764938,916.783281629015
"university gate",1236.907675,390.855608333333
